data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_partida
2020-10-24,Bragantino,Goias,2.0,0.0,Vitória Mandante,2.0
2020-10-22,Vasco,Corinthians,1.0,2.0,Vitória Visitante,3.0
2020-10-20,Bahia,Atlético Mineiro,3.0,1.0,Vitória Mandante,4.0
2020-10-20,Botafogo RJ,Goias,0.0,0.0,Empate,0.0
2020-10-19,Fortaleza,Palmeiras,2.0,0.0,Vitória Mandante,2.0
2020-10-19,Bragantino,Sport Recife,2.0,0.0,Vitória Mandante,2.0
2020-10-18,Internacional,Vasco,2.0,0.0,Vitória Mandante,2.0
2020-10-18,Corinthians,Flamengo,1.0,5.0,Vitória Visitante,6.0
2020-10-18,São Paulo,Grêmio,0.0,0.0,Empate,0.0
2020-10-17,Fluminense,Ceará,2.0,2.0,Empate,4.0
2020-10-17,Coritiba,Santos,1.0,2.0,Vitória Visitante,3.0
2020-10-17,Atl Goianiense,Atl Paranaense,1.0,1.0,Empate,2.0
2020-10-17,Goias,Bahia,1.0,1.0,Empate,2.0
2020-10-16,Flamengo,Bragantino,1.0,1.0,Empate,2.0
2020-10-15,Atlético Mineiro,Fluminense,1.0,1.0,Empate,2.0
2020-10-15,Santos,Atl Goianiense,0.0,1.0,Vitória Visitante,1.0
2020-10-15,Atl Paranaense,Corinthians,0.0,1.0,Vitória Visitante,1.0
2020-10-15,Sport Recife,Internacional,3.0,5.0,Vitória Visitante,8.0
2020-10-14,Grêmio,Botafogo RJ,3.0,1.0,Vitória Mandante,4.0
2020-10-14,Palmeiras,Coritiba,1.0,3.0,Vitória Visitante,4.0
2020-10-13,Flamengo,Goias,2.0,1.0,Vitória Mandante,3.0
2020-10-12,Internacional,Atl Paranaense,2.0,1.0,Vitória Mandante,3.0
2020-10-12,Ceará,Corinthians,2.0,1.0,Vitória Mandante,3.0
2020-10-11,Sport Recife,Botafogo RJ,1.0,2.0,Vitória Visitante,3.0
2020-10-11,Atl Goianiense,Bragantino,2.0,1.0,Vitória Mandante,3.0
2020-10-11,Santos,Grêmio,2.0,1.0,Vitória Mandante,3.0
2020-10-11,Fluminense,Bahia,1.0,0.0,Vitória Mandante,1.0
2020-10-11,Atlético Mineiro,Goias,3.0,0.0,Vitória Mandante,3.0
2020-10-10,Coritiba,Fortaleza,0.0,0.0,Empate,0.0
2020-10-10,Vasco,Flamengo,1.0,2.0,Vitória Visitante,3.0
2020-10-10,Palmeiras,São Paulo,0.0,2.0,Vitória Visitante,2.0
2020-10-09,Bragantino,Internacional,0.0,2.0,Vitória Visitante,2.0
2020-10-08,Atl Paranaense,Ceará,0.0,0.0,Empate,0.0
2020-10-08,Fortaleza,Atlético Mineiro,2.0,1.0,Vitória Mandante,3.0
2020-10-08,Botafogo RJ,Palmeiras,2.0,1.0,Vitória Mandante,3.0
2020-10-08,São Paulo,Atl Goianiense,3.0,0.0,Vitória Mandante,3.0
2020-10-08,Goias,Fluminense,2.0,4.0,Vitória Visitante,6.0
2020-10-07,Grêmio,Coritiba,2.0,1.0,Vitória Mandante,3.0
2020-10-07,Flamengo,Sport Recife,3.0,0.0,Vitória Mandante,3.0
2020-10-07,Bahia,Vasco,3.0,0.0,Vitória Mandante,3.0
2020-10-07,Corinthians,Santos,1.0,1.0,Empate,2.0
2020-10-05,Atlético Mineiro,Vasco,4.0,1.0,Vitória Mandante,5.0
2020-10-04,Coritiba,São Paulo,1.0,1.0,Empate,2.0
2020-10-04,Bragantino,Corinthians,0.0,0.0,Empate,0.0
2020-10-04,Botafogo RJ,Fluminense,1.0,1.0,Empate,2.0
2020-10-04,Bahia,Sport Recife,1.0,2.0,Vitória Visitante,3.0
2020-10-04,Fortaleza,Atl Goianiense,0.0,0.0,Empate,0.0
2020-10-04,Flamengo,Atl Paranaense,3.0,1.0,Vitória Mandante,4.0
2020-10-04,Goias,Santos,2.0,3.0,Vitória Visitante,5.0
2020-10-03,Palmeiras,Ceará,2.0,1.0,Vitória Mandante,3.0
2020-10-03,Grêmio,Internacional,1.0,1.0,Empate,2.0
2020-10-01,Corinthians,Atl Goianiense,0.0,0.0,Empate,0.0
2020-10-01,Botafogo RJ,Bahia,1.0,2.0,Vitória Visitante,3.0
2020-09-29,Fluminense,Coritiba,4.0,0.0,Vitória Mandante,4.0
2020-09-28,Santos,Fortaleza,1.0,1.0,Empate,2.0
2020-09-27,Vasco,Bragantino,1.0,1.0,Empate,2.0
2020-09-27,Atlético Mineiro,Grêmio,3.0,1.0,Vitória Mandante,4.0
2020-09-27,Palmeiras,Flamengo,1.0,1.0,Empate,2.0
2020-09-27,Atl Goianiense,Botafogo RJ,1.0,1.0,Empate,2.0
2020-09-27,Ceará,Goias,2.0,2.0,Empate,4.0
2020-09-26,Internacional,São Paulo,1.0,1.0,Empate,2.0
2020-09-26,Atl Paranaense,Bahia,1.0,0.0,Vitória Mandante,1.0
2020-09-24,Sport Recife,Corinthians,1.0,0.0,Vitória Mandante,1.0
2020-09-21,Sport Recife,Fluminense,1.0,0.0,Vitória Mandante,1.0
2020-09-20,Botafogo RJ,Santos,0.0,0.0,Empate,0.0
2020-09-20,Grêmio,Palmeiras,1.0,1.0,Empate,2.0
2020-09-20,Coritiba,Vasco,1.0,0.0,Vitória Mandante,1.0
2020-09-20,Atl Goianiense,Atlético Mineiro,3.0,4.0,Vitória Visitante,7.0
2020-09-19,Bragantino,Ceará,4.0,2.0,Vitória Mandante,6.0
2020-09-19,Fortaleza,Internacional,1.0,0.0,Vitória Mandante,1.0
