data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante
29/04/18,La Coruna,Barcelona,2,4,Vitória Visitante,1,2,A,17,21,5,9,6,7,9,9,1,1,0,0
29/04/18,Valencia,Eibar,0,0,Empate,0,0,D,16,8,5,2,8,2,12,19,2,3,0,0
30/04/18,Betis,Malaga,2,1,Vitória Mandante,1,1,D,12,9,3,3,6,4,9,17,1,4,0,0
04/05/18,Sevilla,Real Sociedad,1,0,Vitória Mandante,0,0,D,16,11,6,1,6,4,17,13,4,2,0,0
05/05/18,Athletic Club,Betis,2,0,Vitória Mandante,0,0,D,14,6,5,3,4,5,13,12,0,2,0,0
05/05/18,Celta Vigo,La Coruna,1,1,Empate,1,0,H,13,11,4,2,4,10,6,11,4,2,0,0
05/05/18,Girona,Eibar,1,4,Vitória Visitante,0,2,A,16,15,5,6,6,5,12,13,2,5,0,0
05/05/18,Villarreal,Valencia,1,0,Vitória Mandante,0,0,D,13,6,5,2,7,3,18,18,5,3,0,0
06/05/18,Atlético Madrid,Espanol,0,2,Vitória Visitante,0,0,D,9,14,3,6,6,3,9,13,1,3,0,0
06/05/18,Barcelona,Real Madrid,2,2,Empate,1,1,D,11,17,4,5,6,5,8,20,3,5,1,0
06/05/18,Las Palmas,Getafe,0,1,Vitória Visitante,0,0,D,21,8,4,1,9,4,8,28,0,2,0,0
06/05/18,Malaga,Alavés,0,3,Vitória Visitante,0,1,A,16,13,4,7,6,7,15,13,2,1,0,0
07/05/18,Leganes,Levante,0,3,Vitória Visitante,0,0,D,13,10,2,3,6,5,15,11,5,1,1,0
09/05/18,Barcelona,Villarreal,5,1,Vitória Mandante,3,0,H,12,20,6,7,4,4,6,15,0,3,0,0
09/05/18,Sevilla,Real Madrid,3,2,Vitória Mandante,2,0,H,14,14,6,4,2,3,21,9,3,1,0,0
12/05/18,Alavés,Athletic Club,3,1,Vitória Mandante,1,0,H,4,13,3,4,0,8,15,13,2,5,0,0
12/05/18,Betis,Sevilla,2,2,Empate,1,0,H,9,13,5,5,4,5,10,19,1,4,0,0
12/05/18,Eibar,Las Palmas,1,0,Vitória Mandante,1,0,H,10,8,5,2,3,11,13,12,3,1,0,0
12/05/18,Getafe,Atlético Madrid,0,1,Vitória Visitante,0,1,A,11,5,4,3,8,2,13,17,3,2,0,0
12/05/18,Girona,Valencia,0,1,Vitória Visitante,0,0,D,16,10,4,4,6,2,16,11,2,3,0,0
12/05/18,La Coruna,Villarreal,2,4,Vitória Visitante,0,3,A,16,11,7,7,11,0,14,5,3,0,0,0
